2023-03-16 22:19:09.140 [main] INFO  org.calculator.Calculate - [SQ ROOT] - 36.0
2023-03-16 22:19:09.141 [main] INFO  org.calculator.Calculate - [RESULT - SQ ROOT] - 6.0
2023-03-16 22:19:09.141 [main] INFO  org.calculator.Calculate - [NATURAL LOG] - 1.0
2023-03-16 22:19:09.142 [main] INFO  org.calculator.Calculate - [RESULT - NATURAL LOG] - 0.0
2023-03-16 22:19:09.149 [main] INFO  org.calculator.Calculate - [POWER - 2.0 RAISED TO] 3.0
2023-03-16 22:19:09.149 [main] INFO  org.calculator.Calculate - [RESULT - POWER] - 8.0
2023-03-16 22:19:09.150 [main] INFO  org.calculator.Calculate - [POWER - 3.0 RAISED TO] 3.0
2023-03-16 22:19:09.150 [main] INFO  org.calculator.Calculate - [RESULT - POWER] - 27.0
2023-03-16 22:19:09.150 [main] INFO  org.calculator.Calculate - [POWER - 4.0 RAISED TO] 3.0
2023-03-16 22:19:09.150 [main] INFO  org.calculator.Calculate - [RESULT - POWER] - 64.0
2023-03-16 22:19:09.151 [main] INFO  org.calculator.Calculate - [POWER - 5.0 RAISED TO] 3.0
2023-03-16 22:19:09.151 [main] INFO  org.calculator.Calculate - [RESULT - POWER] - 125.0
2023-03-16 22:19:09.152 [main] INFO  org.calculator.Calculate - [POWER - 2.0 RAISED TO] 3.0
2023-03-16 22:19:09.152 [main] INFO  org.calculator.Calculate - [RESULT - POWER] - 8.0
2023-03-16 22:19:09.152 [main] INFO  org.calculator.Calculate - [POWER - 1.0 RAISED TO] 3.0
2023-03-16 22:19:09.153 [main] INFO  org.calculator.Calculate - [RESULT - POWER] - 1.0
2023-03-16 22:19:09.153 [main] INFO  org.calculator.Calculate - [POWER - 3.0 RAISED TO] 4.0
2023-03-16 22:19:09.153 [main] INFO  org.calculator.Calculate - [RESULT - POWER] - 81.0
2023-03-16 22:19:09.153 [main] INFO  org.calculator.Calculate - [POWER - 4.0 RAISED TO] 3.0
2023-03-16 22:19:09.154 [main] INFO  org.calculator.Calculate - [RESULT - POWER] - 64.0
2023-03-16 22:19:09.154 [main] INFO  org.calculator.Calculate - [POWER - 5.0 RAISED TO] 2.0
2023-03-16 22:19:09.154 [main] INFO  org.calculator.Calculate - [RESULT - POWER] - 25.0
2023-03-16 22:19:09.155 [main] INFO  org.calculator.Calculate - [NATURAL LOG] - 2.4
2023-03-16 22:19:09.155 [main] INFO  org.calculator.Calculate - [RESULT - NATURAL LOG] - 0.8754687373538999
2023-03-16 22:19:09.155 [main] INFO  org.calculator.Calculate - [NATURAL LOG] - 2.1
2023-03-16 22:19:09.156 [main] INFO  org.calculator.Calculate - [RESULT - NATURAL LOG] - 0.7419373447293773
2023-03-16 22:19:40.461 [main] INFO  org.calculator.Calculate - [SQ ROOT] - 16.0
2023-03-16 22:19:40.464 [main] INFO  org.calculator.Calculate - [RESULT - SQ ROOT] - 4.0
2023-03-16 22:19:40.464 [main] INFO  org.calculator.Calculate - [SQ ROOT] - 1.0
2023-03-16 22:19:40.464 [main] INFO  org.calculator.Calculate - [RESULT - SQ ROOT] - 1.0
2023-03-16 22:19:40.464 [main] INFO  org.calculator.Calculate - [SQ ROOT] - 81.0
2023-03-16 22:19:40.465 [main] INFO  org.calculator.Calculate - [RESULT - SQ ROOT] - 9.0
2023-03-16 22:19:40.465 [main] INFO  org.calculator.Calculate - [SQ ROOT] - 36.0
2023-03-16 22:19:40.465 [main] INFO  org.calculator.Calculate - [RESULT - SQ ROOT] - 6.0
2023-03-16 22:19:40.465 [main] INFO  org.calculator.Calculate - [SQ ROOT] - 3.0
2023-03-16 22:19:40.466 [main] INFO  org.calculator.Calculate - [RESULT - SQ ROOT] - 1.7320508075688772
2023-03-16 22:19:40.466 [main] INFO  org.calculator.Calculate - [SQ ROOT] - 4.0
2023-03-16 22:19:40.466 [main] INFO  org.calculator.Calculate - [RESULT - SQ ROOT] - 2.0
2023-03-16 22:19:40.466 [main] INFO  org.calculator.Calculate - [SQ ROOT] - 81.0
2023-03-16 22:19:40.466 [main] INFO  org.calculator.Calculate - [RESULT - SQ ROOT] - 9.0
2023-03-16 22:19:40.466 [main] INFO  org.calculator.Calculate - [SQ ROOT] - 36.0
2023-03-16 22:19:40.467 [main] INFO  org.calculator.Calculate - [RESULT - SQ ROOT] - 6.0
2023-03-16 22:19:40.467 [main] INFO  org.calculator.Calculate - [NATURAL LOG] - 1.0
2023-03-16 22:19:40.468 [main] INFO  org.calculator.Calculate - [RESULT - NATURAL LOG] - 0.0
2023-03-16 22:19:40.477 [main] INFO  org.calculator.Calculate - [POWER - 2.0 RAISED TO] 3.0
2023-03-16 22:19:40.478 [main] INFO  org.calculator.Calculate - [RESULT - POWER] - 8.0
2023-03-16 22:19:40.478 [main] INFO  org.calculator.Calculate - [POWER - 3.0 RAISED TO] 3.0
2023-03-16 22:19:40.478 [main] INFO  org.calculator.Calculate - [RESULT - POWER] - 27.0
2023-03-16 22:19:40.478 [main] INFO  org.calculator.Calculate - [POWER - 4.0 RAISED TO] 3.0
2023-03-16 22:19:40.479 [main] INFO  org.calculator.Calculate - [RESULT - POWER] - 64.0
2023-03-16 22:19:40.479 [main] INFO  org.calculator.Calculate - [POWER - 5.0 RAISED TO] 3.0
2023-03-16 22:19:40.479 [main] INFO  org.calculator.Calculate - [RESULT - POWER] - 125.0
2023-03-16 22:19:40.479 [main] INFO  org.calculator.Calculate - [POWER - 2.0 RAISED TO] 3.0
